game_link,game_score,team_1_score,team_2_score,team_1_name,team_2_name,game_id
https://official.nba.com/l2m/L2MReport.html?gameId=0022300846,"Bulls 132, Cavaliers 123 (2OT)",132,123,Bulls,Cavaliers,0022300846
https://official.nba.com/l2m/L2MReport.html?gameId=0022300848,"Lakers 116, Clippers 112",116,112,Lakers,Clippers,0022300848
https://official.nba.com/l2m/L2MReport.html?gameId=0022300832,"Cavaliers 121, Mavericks 119",121,119,Cavaliers,Mavericks,0022300832
https://official.nba.com/l2m/L2MReport.html?gameId=0022300828,"Knicks 113, Pistons 111",113,111,Knicks,Pistons,0022300828
https://official.nba.com/l2m/L2MReport.html?gameId=0022300823,"Bulls 114, Pelicans 106",114,106,Bulls,Pelicans,0022300823
https://official.nba.com/l2m/L2MReport.html?gameId=0022300814," Magic 112, Pistons 109",112,109,Magic,Pistons,0022300814
https://official.nba.com/l2m/L2MReport.html?gameId=0022300804,"Raptors 123, Hawks 121",123,121,Raptors,Hawks,0022300804
https://official.nba.com/l2m/L2MReport.html?gameId=0022300805,"76ers 104, Cavaliers 97",104,97,76ers,Cavaliers,0022300805
https://official.nba.com/l2m/L2MReport.html?gameId=0022300806,"Rockets 114, Suns 110",114,110,Rockets,Suns,0022300806
https://official.nba.com/l2m/L2MReport.html?gameId=0022300807,"Clippers 101, Grizzlies 95",101,95,Clippers,Grizzlies,0022300807
https://official.nba.com/l2m/L2MReport.html?gameId=0022300808,"Bucks 112, Timberwolves 107",112,107,Bucks,Timberwolves,0022300808
https://official.nba.com/l2m/L2MReport.html?gameId=0022300803,"Kings 127, Spurs 122",127,122,Kings,Spurs,0022300803
https://official.nba.com/l2m/L2MReport.html?gameId=0022300576,"Warriors 140, Jazz 137",140,137,Warriors,Jazz,0022300576
https://official.nba.com/l2m/L2MReport.html?gameId=0022300790,"Grizzlies 113, Bucks 110",113,110,Grizzlies,Bucks,0022300790
https://official.nba.com/l2m/L2MReport.html?gameId=0022300779,"Heat 109, 76ers 104",109,104,Heat,76ers,0022300779
https://official.nba.com/l2m/L2MReport.html?gameId=0022300781,"Cavaliers 108, Bulls 105",108,105,Cavaliers,Bulls,0022300781
https://official.nba.com/l2m/L2MReport.html?gameId=0022300782,"Pacers 127, Raptors 125",127,125,Pacers,Raptors,0022300782
https://official.nba.com/l2m/L2MReport.html?gameId=0022300784,"Pelicans 133, Wizards 126",133,126,Pelicans,Wizards,0022300784
https://official.nba.com/l2m/L2MReport.html?gameId=0022300786,"Kings 102, Nuggets 98",102,98,Kings,Nuggets,0022300786
https://official.nba.com/l2m/L2MReport.html?gameId=0022300789,"Clippers 130, Warriors 125",130,125,Clippers,Warriors,0022300789
https://official.nba.com/l2m/L2MReport.html?gameId=0022300774,"Suns 130, Kings 125",130,125,Suns,Kings,0022300774
https://official.nba.com/l2m/L2MReport.html?gameId=0022300762,"76ers 123, Cavaliers 121",123,121,76ers,Cavaliers,0022300762
https://official.nba.com/l2m/L2MReport.html?gameId=0022300765,"Rockets 105, Knicks 103",105,103,Rockets,Knicks,0022300765
